tarih,ortalama_sicaklik
2015-01-01,6.786666666666667
2015-02-01,6.982500000000001
2015-03-01,8.2225
2015-04-01,12.74384615384615
2015-05-01,18.71903225806452
2015-06-01,21.09066666666667
2015-07-01,24.55142857142857
2015-08-01,25.65285714285714
2015-09-01,23.01833333333333
2015-10-01,16.28548387096774
2015-11-01,14.00533333333334
2015-12-01,7.71516129032258
2016-01-01,6.197741935483872
2016-02-01,11.01551724137931
2016-03-01,11.28548387096774
2016-04-01,16.966
2016-05-01,18.64870967741936
2016-06-01,23.70533333333333
2016-07-01,25.25967741935484
2016-08-01,25.54258064516129
2016-09-01,21.45
2016-10-01,15.92677419354839
2016-11-01,12.05166666666667
2016-12-01,4.892580645161291
2017-01-01,3.509032258064516
2017-02-01,7.834999999999998
2017-03-01,9.70838709677419
2017-04-01,12.94666666666667
2017-05-01,17.95064516129032
2017-06-01,23.84966666666667
2017-07-01,24.40935483870968
2017-08-01,24.18580645161291
2017-09-01,22.02855555555556
2017-10-01,15.13064516129032
2017-11-01,12.107
2017-12-01,10.66870967741935
2018-01-01,7.359032258064518
2018-02-01,7.766785714285715
2018-03-01,11.05451612903226
2018-04-01,14.56633333333333
2018-05-01,18.65
2018-06-01,22.926
2018-07-01,25.3383870967742
2018-08-01,25.89193548387097
2018-09-01,21.67666666666667
2018-10-01,17.18645161290322
2018-11-01,12.56166666666667
2018-12-01,7.041935483870969
2019-01-01,7.139677419354839
2019-02-01,6.765357142857146
2019-03-01,10.19096774193548
2019-04-01,12.675
2019-05-01,19.94129032258065
2019-06-01,24.51833333333333
2019-07-01,24.24967741935484
2019-08-01,24.96290322580645
2019-09-01,22.07999999999999
2019-10-01,18.15709677419355
2019-11-01,16.57133333333333
2019-12-01,10.42709677419355
2020-01-01,7.253870967741936
2020-02-01,9.32896551724138
2020-03-01,11.17129032258065
2020-04-01,12.94933333333333
2020-05-01,18.80774193548387
2020-06-01,23.35433333333333
2020-07-01,24.83032258064516
2020-08-01,25.20709677419355
2020-09-01,23.84300000000001
2020-10-01,20.23870967741935
2020-11-01,12.15
2020-12-01,11.36129032258064
2021-01-01,8.16741935483871
2021-02-01,7.53357142857143
2021-03-01,7.134193548387097
2021-04-01,11.77666666666667
2021-05-01,18.87645161290323
2021-06-01,21.182
2021-07-01,25.64193548387097
2021-08-01,25.82903225806452
2021-09-01,20.10333333333334
2021-10-01,14.81225806451613
