tarih,ortalama_nem
2015-01-01,76.958
2015-02-01,82.1917857142857
2015-03-01,79.63714285714286
2015-04-01,65.70884615384615
2015-05-01,70.36419354838709
2015-06-01,75.74733333333333
2015-07-01,71.18749999999999
2015-08-01,71.54928571428572
2015-09-01,77.19066666666666
2015-10-01,82.49774193548384
2015-11-01,77.87866666666666
2015-12-01,81.3674193548387
2016-01-01,78.43064516129033
2016-02-01,76.18344827586208
2016-03-01,71.54806451612903
2016-04-01,59.40666666666668
2016-05-01,68.51129032258065
2016-06-01,67.00066666666666
2016-07-01,68.12096774193549
2016-08-01,74.07129032258067
2016-09-01,69.074
2016-10-01,91.34193548387097
2016-11-01,73.55933333333334
2016-12-01,77.5722580645161
2017-01-01,83.33580645161292
2017-02-01,74.46821428571427
2017-03-01,76.90064516129033
2017-04-01,67.18299999999999
2017-05-01,74.11
2017-06-01,70.71633333333332
2017-07-01,68.10870967741936
2017-08-01,74.0583870967742
2017-09-01,71.20799999999998
2017-10-01,73.77419354838712
2017-11-01,78.23266666666669
2017-12-01,71.81806451612904
2018-01-01,77.66612903225808
2018-02-01,81.79678571428573
2018-03-01,75.08387
2018-04-01,68.99233333333333
2018-05-01,76.12322580645161
2018-06-01,70.84999999999998
2018-07-01,68.6541935483871
2018-08-01,69.28064516129034
2018-09-01,74.05966666666664
2018-10-01,75.62032258064518
2018-11-01,81.14666666666666
2018-12-01,81.63290322580644
2019-01-01,75.75419354838712
2019-02-01,79.48428571428573
2019-03-01,66.9951612903226
2019-04-01,70.57966666666667
2019-05-01,64.7206451612903
2019-06-01,70.83999999999999
2019-07-01,69.57903225806453
2019-08-01,71.70967741935483
2019-09-01,66.96233333333332
2019-10-01,78.91161290322583
2019-11-01,75.33333333333331
2019-12-01,77.38032258064517
2020-01-01,77.20225806451612
2020-02-01,71.10724137931035
2020-03-01,73.58548387096776
2020-04-01,66.21133333333333
2020-05-01,68.84709677419355
2020-06-01,69.90566666666668
2020-07-01,70.88903225806452
2020-08-01,68.63064516129033
2020-09-01,69.44833333333332
2020-10-01,72.20741935483872
2020-11-01,78.13266666666668
2020-12-01,78.92612903225806
2021-01-01,76.92935483870966
2021-02-01,77.56642857142859
2021-03-01,77.57032258064515
2021-04-01,74.41399999999999
2021-05-01,64.84387096774192
2021-06-01,74.67166666666668
2021-07-01,70.86451612903224
2021-08-01,65.75032258064516
2021-09-01,70.51299999999999
2021-10-01,80.61000000000001
