tarih,tuketim
2021-11,17345264.0
2021-12,20410236.0
2022-01,17577140.0
2022-02,17709236.0
2022-03,11729124.0
2022-04,2856915.2
2022-05,2391096.5
2022-06,2332313.2
2022-07,2296158.2
2022-08,2387604.5
2022-09,5105820.0
2022-10,4513584.0
2022-11,17345264.0
2022-12,20128212.0
